nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
FRA,GK,31,1985,9,810,90,23.7,9.0,9,,9,0,,0,1.22,16,17,-1,-0.11,0.3,,,,,
SLE,"FW,MF",20,1995,1,24,24,0.7,0.3,0,,0,1,,5,0.0,0,0,0,0.0,0.34,,,,,
WAL,GK,29,1987,29,2610,90,76.3,29.0,29,,29,0,,8,1.03,34,46,-12,-0.41,-0.3,,,,,
CIV,"FW,MF",23,1992,35,3019,86,88.3,33.5,34,,27,1,,0,1.09,47,56,-9,-0.27,0.63,,,,,
COD,"FW,MF",27,1989,1,25,25,0.7,0.3,0,,0,1,,0,0.0,0,1,-1,-3.6,-3.28,,,,,
FRA,MF,30,1986,32,2125,66,62.1,23.6,25,,12,7,,0,1.0,32,41,-9,-0.38,-0.1,,,,,
ENG,DF,23,1992,8,188,24,5.5,2.1,0,,0,8,,11,0.5,11,7,4,1.91,2.39,,,,,
ENG,"FW,MF",29,1987,11,509,46,14.9,5.7,6,,1,5,,11,1.36,3,5,-2,-0.35,-0.97,,,,,
NGA,"FW,MF",18,1997,8,289,36,8.5,3.2,3,,0,5,,8,2.25,6,2,4,1.25,0.84,,,,,
CIV,FW,32,1983,5,70,14,2.0,0.8,0,,0,5,,3,1.67,0,3,-3,-3.86,-4.42,,,,,
WAL,DF,31,1984,36,3160,88,92.4,35.1,35,,34,1,,0,1.58,55,39,16,0.46,-0.24,,,,,
ZIM,DF,20,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
CRC,"DF,MF",26,1990,6,475,79,13.9,5.3,6,,4,0,,4,0.83,5,7,-2,-0.38,-0.99,,,,,
ENG,"FW,MF",19,1997,11,347,32,10.1,3.9,5,,0,6,,3,1.36,4,7,-3,-0.78,-1.39,,,,,
ECU,"FW,MF",26,1989,21,716,34,20.9,8.0,5,,0,16,,11,1.19,18,8,10,1.26,0.99,,,,,
ENG,MF,35,1981,33,2108,64,61.6,23.4,23,,11,10,,3,1.61,34,28,6,0.26,-0.57,,,,,
ESP,"FW,MF",22,1994,11,460,42,13.5,5.1,4,,1,7,,5,1.18,10,6,4,0.78,0.36,,,,,
