players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,38,47,2,0,0,2,54.1,0.33,9.1,0.24,118,285,41.4,1258,217,18.4,24.3,215,24.7,29.9,400,23,5.8,89,2.34,9.0,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
2,38,33,3,1,4,1,30.3,0.3,-1.7,-0.05,128,287,44.6,1242,163,18.9,23.9,181,28.7,30.4,312,20,6.4,40,1.05,21.1,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
1,38,43,2,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,909,128,37.0,32.3,302,37.4,31.7,526,15,2.9,32,0.84,14.8,/en/squads/19538871/2022-2023/Manchester-United-Stats
2,38,33,2,0,8,2,33.2,0.24,2.2,0.06,126,378,33.3,714,246,32.2,20.7,230,64.3,48.5,441,35,7.9,74,1.95,12.4,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
3,38,68,6,2,9,0,60.1,0.3,-7.9,-0.21,237,712,33.3,957,185,51.0,43.2,338,66.3,47.5,621,35,5.6,38,1.0,17.0,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
2,38,73,2,1,8,5,46.0,0.29,-22.0,-0.58,234,742,31.5,1115,173,50.5,38.1,303,59.1,44.9,548,42,7.7,55,1.45,15.1,/en/squads/33c895d4/2022-2023/Southampton-Stats
2,38,63,3,1,7,1,55.1,0.3,-6.9,-0.18,113,342,33.0,804,180,31.0,30.2,283,32.9,29.5,515,25,4.9,45,1.18,15.2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
2,38,55,4,0,4,1,53.2,0.29,-0.8,-0.02,212,553,38.3,715,167,54.7,33.4,302,53.6,40.8,560,31,5.5,26,0.68,10.3,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
2,38,58,2,0,6,1,52.2,0.28,-4.8,-0.13,130,464,28.0,992,196,29.8,32.9,283,59.4,45.1,577,48,8.3,29,0.76,8.0,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
3,38,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,35.7,356,51.7,42.6,642,40,6.2,28,0.74,7.0,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2,38,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,30.5,264,62.9,48.3,451,29,6.4,50,1.32,15.4,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
3,38,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
