playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
21,3,5.0,,73159,Koki Saito,Koki,Saito,2001-08-10,Japan,Left Winger,,23.0,2024-09-02T09:59:05Z,6806,Sparta Rotterdam,Sparta,SPA,https://crests.football-data.org/6806.png,Spartapark Noord 1 Rotterdam 3027 VW,http://www.sparta-rotterdam.nl,1888,Red / White / Black,Sparta-Stadion Het Kasteel,2022-03-22T10:09:59Z,DED,Eredivisie,2023
34,3,1.0,,11301,Apostolos Vellios,Tolis,Vellios,1992-01-08,Greece,Offence,,,2023-07-30T23:07:20Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,Stadionplein 1 Zwolle 8025 CP,http://www.peczwolle.nl,1910,Blue / White,MAC³PARK Stadion,2022-03-22T10:11:39Z,DED,Eredivisie,2023
25,3,5.0,,23213,Luka Ivanušec,Luka,Ivanušec,1998-11-26,Croatia,Left Winger,,17.0,2024-08-24T08:13:26Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,Van Zandvlietplein 3 Rotterdam 3007 AP,http://www.feyenoord.nl,1908,Red / White / Black,Stadion Feijenoord,2022-03-24T17:06:52Z,DED,Eredivisie,2023
30,3,1.0,,62596,Ondřej Lingr,Ondřej,Lingr,1998-10-07,Czech Republic,Attacking Midfield,,32.0,2024-08-24T08:13:26Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,Van Zandvlietplein 3 Rotterdam 3007 AP,http://www.feyenoord.nl,1908,Red / White / Black,Stadion Feijenoord,2022-03-24T17:06:52Z,DED,Eredivisie,2023
13,3,1.0,,171448,Tijjani Noslin,Tijjani,Noslin,1999-07-07,Netherlands,Right Winger,,,2025-05-31T09:44:03Z,1920,Fortuna Sittard,Sittard,SIT,https://crests.football-data.org/1920.png,Milaanstraat 120 Sittard 6135 LH,http://www.fortuna-sittard.nl,1968,Yellow / Green,Fortuna Sittard Stadion,2022-03-22T10:11:54Z,DED,Eredivisie,2023
14,3,1.0,,150734,Abdenego Nankishi,Abed,Nankishi,2002-07-06,Germany,Offence,,,2023-07-30T23:06:54Z,671,Heracles Almelo,Heracles,HER,https://crests.football-data.org/671.png,Stadionlaan 1 Almelo 7606 JZ,http://www.heracles.nl,1903,Black / White,Erve Asito,2022-03-22T10:10:18Z,DED,Eredivisie,2023
32,3,1.0,,98353,Eliano Reijnders,Eliano,Reijnders,2000-10-23,Indonesia,Left Winger,,,2024-09-07T09:41:27Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,Stadionplein 1 Zwolle 8025 CP,http://www.peczwolle.nl,1910,Blue / White,MAC³PARK Stadion,2022-03-22T10:11:39Z,DED,Eredivisie,2023
26,3,3.0,,137026,Naci Ünüvar,Naci,Ünüvar,2003-06-13,Turkey,Left Winger,,,2024-08-24T08:13:27Z,666,FC Twente '65,Twente,TWE,https://crests.football-data.org/666.png,Colosseum 65 Enschede 7521 PP,http://www.fctwente.nl,1965,Red / White,De Grolsch Veste,2022-03-24T17:06:27Z,DED,Eredivisie,2023
9,3,2.0,1.0,15889,Bas Dost,Bas,Dost,1989-05-31,Netherlands,Offence,,,2023-05-01T18:25:32Z,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,Stadionplein 1 Nijmegen 6532 AJ,http://www.nec-nijmegen.nl,1900,Red / Green / Black,Goffertstadion,2022-03-06T09:55:52Z,DED,Eredivisie,2023
25,3,3.0,,137750,Patrik Wålemark,Patrik,Wålemark,2001-10-14,Sweden,Right Winger,,23.0,2024-08-24T08:13:26Z,673,SC Heerenveen,Heerenveen,HEE,https://crests.football-data.org/673.png,Abe Lenstra Boulevard 19 Heerenveen 8448 JA,http://www.sc-heerenveen.nl,1920,Blue / White,Abe Lenstra Stadion,2022-02-20T08:40:47Z,DED,Eredivisie,2023
33,3,,,16342,André Ramalho,,André Ramalho,1992-02-16,Brazil,Defence,,,2023-07-30T23:06:55Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,DED,Eredivisie,2023
