Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,URL
31,27.0,44.6,34,374,3060,34,61,39,100,55,6,6,67,0,1.79,1.15,2.94,1.62,2.76,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats
31,25.7,51.7,34,374,3060,34,32,23,55,29,3,3,69,2,0.94,0.68,1.62,0.85,1.53,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats
32,25.2,50.2,38,417,3420,38,62,43,105,57,5,5,90,2,1.63,1.13,2.76,1.5,2.63,/en/squads/922493f3/2016-2017/Atalanta-Stats
28,26.3,46.3,38,418,3420,38,39,29,68,38,1,2,87,2,1.03,0.76,1.79,1.0,1.76,/en/squads/1d8099f8/2016-2017/Bologna-Stats
34,28.7,43.2,38,418,3420,38,53,30,83,49,4,6,104,3,1.39,0.79,2.18,1.29,2.08,/en/squads/c4260e09/2016-2017/Cagliari-Stats
29,31.3,46.7,38,418,3420,38,42,29,71,38,4,5,88,3,1.11,0.76,1.87,1.0,1.76,/en/squads/cc919b35/2016-2017/Chievo-Stats
31,26.0,37.1,38,418,3420,38,34,22,56,30,4,5,93,3,0.89,0.58,1.47,0.79,1.37,/en/squads/3074d7b1/2016-2017/Crotone-Stats
29,26.8,49.0,38,418,3420,38,29,19,48,25,4,5,107,0,0.76,0.5,1.26,0.66,1.16,/en/squads/a3d88bd8/2016-2017/Empoli-Stats
30,27.3,58.3,38,418,3420,38,62,46,108,56,6,10,98,3,1.63,1.21,2.84,1.47,2.68,/en/squads/421387cf/2016-2017/Fiorentina-Stats
33,26.9,48.8,38,418,3420,38,36,30,66,34,2,3,97,4,0.95,0.79,1.74,0.89,1.68,/en/squads/658bf2de/2016-2017/Genoa-Stats
29,27.5,56.4,38,418,3420,38,70,55,125,67,3,5,81,3,1.84,1.45,3.29,1.76,3.21,/en/squads/d609edc0/2016-2017/Internazionale-Stats
27,29.1,57.0,38,418,3420,38,72,49,121,69,3,3,70,0,1.89,1.29,3.18,1.82,3.11,/en/squads/e0652b02/2016-2017/Juventus-Stats
30,26.0,51.0,38,418,3420,38,73,47,120,61,12,14,96,3,1.92,1.24,3.16,1.61,2.84,/en/squads/7213da33/2016-2017/Lazio-Stats
28,25.0,54.1,38,418,3420,38,55,39,94,48,7,12,98,9,1.45,1.03,2.47,1.26,2.29,/en/squads/dc56fe14/2016-2017/Milan-Stats
26,26.9,62.1,38,418,3420,38,94,68,162,89,5,6,58,0,2.47,1.79,4.26,2.34,4.13,/en/squads/d48ad4ff/2016-2017/Napoli-Stats
30,26.1,45.6,38,418,3420,38,33,24,57,32,1,1,107,6,0.87,0.63,1.5,0.84,1.47,/en/squads/ee058a17/2016-2017/Palermo-Stats
34,26.6,46.4,38,418,3420,38,32,27,59,30,2,6,98,3,0.84,0.71,1.55,0.79,1.5,/en/squads/b985784c/2016-2017/Pescara-Stats
22,26.7,57.1,38,418,3420,38,88,59,147,76,12,14,64,0,2.32,1.55,3.87,2.0,3.55,/en/squads/cf74a709/2016-2017/Roma-Stats
24,26.6,52.3,38,418,3420,38,45,31,76,38,7,8,75,1,1.18,0.82,2.0,1.0,1.82,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats
28,26.7,46.8,38,418,3420,38,59,36,95,50,9,10,90,0,1.55,0.95,2.5,1.32,2.26,/en/squads/e2befd26/2016-2017/Sassuolo-Stats
29,26.4,50.7,38,418,3420,38,70,54,124,65,5,9,88,3,1.84,1.42,3.26,1.71,3.13,/en/squads/105360fe/2016-2017/Torino-Stats
29,26.7,41.8,38,418,3420,38,47,29,76,45,2,3,85,0,1.24,0.76,2.0,1.18,1.95,/en/squads/04eea015/2016-2017/Udinese-Stats
