nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
SUI,GK,27,1994,29,29,2587,28.7,41,1.43,158,117,75.9,10,4,15,8,27.6,4,3,1,0,25.0
FRA,GK,22,1999,38,38,3420,38.0,48,1.26,155,105,71.6,15,10,13,8,21.1,7,4,3,0,42.9
POL,GK,21,1999,1,1,90,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
ARG,GK,28,1993,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0
FRA,GK,30,1990,1,0,8,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
ITA,GK,22,1999,17,17,1530,17.0,17,1.0,61,45,73.8,13,2,2,5,29.4,1,1,0,0,0.0
CRC,GK,34,1986,21,21,1856,20.6,18,0.87,78,60,79.5,13,6,2,7,33.3,2,2,0,0,0.0
ESP,GK,27,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,
SRB,GK,25,1995,38,38,3420,38.0,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,1,16.7
SEN,GK,27,1993,25,25,2250,25.0,25,1.0,67,43,68.7,14,5,6,10,40.0,4,4,0,0,0.0
TUR,GK,18,2002,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0
FRA,GK,37,1984,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
ENG,GK,21,2000,15,15,1197,13.3,27,2.03,67,42,61.2,2,5,8,1,6.7,1,1,0,0,0.0
FRA,GK,24,1997,19,19,1710,19.0,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0
FRA,GK,19,2001,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0
JPN,GK,38,1983,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
BEL,GK,29,1992,37,37,3330,37.0,43,1.16,130,88,70.0,16,12,9,13,35.1,4,4,0,0,0.0
FRA,GK,28,1993,31,31,2790,31.0,45,1.45,135,92,72.6,8,8,15,8,25.8,8,8,0,0,0.0
FRA,GK,35,1986,7,7,630,7.0,8,1.14,24,16,75.0,1,3,3,1,14.3,2,2,0,0,0.0
FRA,GK,33,1989,32,32,2798,31.1,60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,1,0.0
FRA,GK,28,1994,6,6,540,6.0,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,0.0
FRA,GK,19,2002,1,0,82,0.9,0,0.0,4,4,100.0,0,0,0,1,,0,0,0,0,
FRA,GK,25,1997,27,27,2430,27.0,62,2.3,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0
CIV,GK,21,2000,11,11,990,11.0,19,1.73,54,35,66.7,3,1,7,1,9.1,2,1,1,0,50.0
FRA,GK,35,1987,19,19,1710,19.0,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0
GUF,GK,29,1992,2,2,180,2.0,2,1.0,11,9,90.9,1,1,0,0,0.0,1,1,0,0,0.0
ROU,GK,25,1997,17,17,1530,17.0,20,1.18,74,53,73.0,4,6,7,5,29.4,2,0,2,0,100.0
ARG,GK,21,2001,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
NED,GK,31,1991,37,37,3330,37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2
SEN,GK,29,1993,37,37,3330,37.0,47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3
GNB,GK,24,1998,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
FRA,GK,28,1994,37,37,3330,37.0,28,0.76,125,98,80.0,24,9,4,15,40.5,3,3,0,0,0.0
FRA,GK,36,1985,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
FRA,GK,20,2001,32,32,2880,32.0,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3
BRA,GK,27,1995,6,6,540,6.0,13,2.17,17,4,35.3,3,1,2,0,0.0,2,2,0,0,0.0
ITA,GK,34,1988,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0
SUI,GK,28,1994,21,21,1812,20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0.0
POR,GK,31,1990,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0
FRA,GK,34,1987,7,6,601,6.7,8,1.2,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0.0
ESP,GK,27,1994,33,32,2925,32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0.0
ESP,GK,27,1995,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,
GER,GK,25,1996,38,38,3420,38.0,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0
FRA,GK,31,1991,19,19,1710,19.0,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0
SEN,GK,25,1996,5,4,408,4.5,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0
SUI,GK,28,1994,14,14,1166,13.0,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0
POR,GK,23,1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,
FRA,GK,23,1999,37,37,3329,37.0,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0.0
FRA,GK,26,1996,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,0,0,0,0,
DEN,GK,35,1986,36,36,3240,36.0,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25.0
POL,GK,22,1999,2,2,180,2.0,2,1.0,6,4,66.7,0,1,1,0,0.0,0,0,0,0,
FRA,GK,31,1990,1,0,11,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA,GK,23,1999,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3
AUT,GK,25,1997,7,7,630,7.0,14,2.0,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0
FRA,GK,22,1999,31,31,2790,31.0,31,1.0,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0
TUR,GK,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0
FRA,GK,37,1985,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3
BEL,GK,30,1992,38,38,3420,38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0
FRA,GK,29,1993,38,38,3420,38.0,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9
FRA,GK,29,1993,30,30,2667,29.6,65,2.19,177,114,66.1,3,9,18,0,0.0,5,5,0,0,0.0
POL,GK,25,1997,9,8,751,8.3,16,1.92,51,34,72.5,1,3,4,1,12.5,3,2,1,0,33.3
FRA,GK,24,1999,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,
NED,GK,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3
SEN,GK,21,2001,4,4,360,4.0,6,1.5,24,18,79.2,1,2,1,0,0.0,1,1,0,0,0.0
SEN,GK,30,1993,30,30,2700,30.0,54,1.8,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3
FRA,GK,29,1994,33,33,2970,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0
FRA,GK,32,1990,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0
FRA,GK,29,1994,33,33,2970,33.0,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3
FRA,GK,37,1985,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,0,0,0,0,
FRA,GK,21,2001,33,33,2969,33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0
ITA,GK,35,1988,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
SUI,GK,29,1994,34,34,3060,34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0
POR,GK,32,1990,31,31,2790,31.0,49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0
FRA,GK,35,1987,3,3,270,3.0,6,2.0,14,8,57.1,0,1,2,1,33.3,0,0,0,0,
ESP,GK,28,1994,33,33,2939,32.7,39,1.19,124,86,71.0,13,11,9,7,21.2,3,3,0,0,0.0
ESP,GK,28,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
ALG,GK,35,1988,34,34,2987,33.2,57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0.0
FRA,GK,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,
SUI,GK,25,1998,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7
POL,GK,23,1999,12,12,1080,12.0,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,
FRA,GK,32,1991,30,30,2700,30.0,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0
COD,GK,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,
FRA,GK,24,1999,28,28,2496,27.7,43,1.55,118,75,70.3,7,4,17,7,25.0,8,8,0,0,0.0
SRB,GK,35,1988,1,0,24,0.3,1,3.75,1,0,0.0,0,0,0,0,,0,0,0,0,
FRA,GK,27,1996,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0
POL,GK,23,1999,34,34,3060,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5
ESP,GK,22,2001,6,5,529,5.9,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,
ITA,GK,24,1999,25,25,2169,24.1,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0
CRC,GK,36,1986,4,4,360,4.0,6,1.5,12,6,58.3,2,2,0,1,25.0,1,1,0,0,0.0
FRA,GK,23,1999,34,34,3060,34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3
FRA,GK,38,1985,34,34,3060,34.0,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0
MAR,GK,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0
BEL,GK,31,1992,19,19,1710,19.0,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0
FRA,GK,18,2005,34,34,3060,34.0,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0
GER,GK,29,1987,2,2,180,2.0,1,0.5,14,13,92.9,0,2,0,1,50.0,0,0,0,0,
SUI,GK,28,1987,32,32,2880,32.0,50,1.56,162,112,71.6,9,9,14,7,21.9,5,4,0,1,0.0
GER,GK,30,1986,26,26,2340,26.0,13,0.5,67,54,80.6,19,6,1,14,53.8,0,0,0,0,
GER,GK,27,1988,5,5,450,5.0,4,0.8,16,12,81.3,3,1,1,2,40.0,1,1,0,0,0.0
GER,GK,35,1981,3,3,270,3.0,5,1.67,17,12,76.5,3,0,0,1,33.3,2,1,1,0,50.0
POR,GK,23,1992,7,6,576,6.4,13,2.03,43,30,72.1,1,1,4,0,0.0,1,1,0,0,0.0
GER,GK,28,1987,28,28,2484,27.6,50,1.81,144,94,68.8,6,3,19,3,10.7,7,5,1,1,16.7
SUI,GK,25,1990,27,27,2430,27.0,29,1.07,97,68,72.2,16,6,5,9,33.3,2,2,0,0,0.0
GER,GK,35,1980,7,7,630,7.0,11,1.57,28,17,60.7,2,4,1,0,0.0,0,0,0,0,
AUT,GK,26,1990,2,1,175,1.9,3,1.54,9,6,66.7,1,0,1,1,100.0,0,0,0,0,
FIN,GK,26,1989,33,33,2883,32.0,40,1.25,111,71,66.7,10,9,13,10,30.3,4,3,0,1,0.0
GER,GK,24,1992,34,34,3060,34.0,60,1.76,165,105,66.1,14,6,14,6,17.6,6,4,2,0,33.3
SUI,GK,27,1988,34,34,3060,34.0,49,1.44,146,97,69.2,12,9,13,10,29.4,5,4,0,1,0.0
GER,GK,24,1992,14,14,1260,14.0,19,1.36,58,39,70.7,5,4,5,3,21.4,2,2,0,0,0.0
GER,GK,31,1985,19,19,1710,19.0,38,2.0,87,49,59.8,5,4,10,5,26.3,6,3,1,2,25.0
GER,GK,27,1989,1,1,90,1.0,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,
NOR,GK,31,1984,34,34,3060,34.0,47,1.38,150,103,71.3,15,4,15,11,32.4,5,4,1,0,20.0
GER,GK,26,1990,34,34,3060,34.0,37,1.09,150,113,76.0,16,14,4,12,35.3,3,1,1,1,50.0
DEN,GK,26,1990,23,23,2037,22.6,34,1.5,98,64,70.4,8,5,10,3,13.0,6,5,1,0,16.7
NOR,GK,25,1990,12,11,1023,11.4,23,2.02,62,39,66.1,0,3,8,0,0.0,2,2,0,0,0.0
GER,GK,20,1996,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
GER,GK,30,1986,13,13,1170,13.0,18,1.38,64,46,73.4,3,6,4,3,23.1,1,1,0,0,0.0
GER,GK,23,1993,20,20,1800,20.0,24,1.2,91,67,76.9,9,6,5,6,30.0,3,3,0,0,0.0
GER,GK,24,1992,34,34,3060,34.0,55,1.62,160,105,67.5,11,8,15,6,17.6,3,3,0,0,0.0
GER,GK,22,1994,7,7,630,7.0,9,1.29,26,17,65.4,2,2,3,2,28.6,0,0,0,0,
DEN,GK,27,1989,27,27,2430,27.0,46,1.7,134,88,67.9,8,5,14,5,18.5,4,3,1,0,25.0
SUI,GK,35,1980,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
HUN,GK,26,1990,33,33,2970,33.0,39,1.18,102,63,64.7,19,7,7,9,27.3,5,3,2,0,40.0
GER,GK,27,1988,34,34,3060,34.0,40,1.18,118,78,71.2,11,10,13,8,23.5,10,6,4,0,40.0
GER,GK,26,1990,25,24,2209,24.5,49,2.0,145,96,70.3,10,2,13,5,20.8,8,6,2,0,25.0
CZE,GK,36,1979,10,10,849,9.4,15,1.59,45,30,71.1,3,4,2,1,10.0,2,2,0,0,0.0
SUI,GK,32,1983,14,14,1260,14.0,22,1.57,63,41,68.3,5,1,8,3,21.4,4,2,1,1,33.3
BEL,GK,24,1992,20,20,1800,20.0,30,1.5,92,62,67.4,5,6,9,8,40.0,1,0,0,1,
GER,GK,30,1987,2,2,180,2.0,4,2.0,7,3,57.1,0,1,1,0,0.0,1,1,0,0,0.0
SUI,GK,29,1987,32,32,2880,32.0,42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0
GER,GK,31,1986,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,
GER,GK,28,1988,29,29,2610,29.0,26,0.9,84,58,70.2,23,3,3,12,41.4,4,1,3,0,75.0
GER,GK,36,1981,2,2,180,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,
SUI,GK,26,1990,33,33,2969,33.0,43,1.3,145,102,72.4,15,9,9,12,36.4,3,3,0,0,0.0
GER,GK,36,1980,2,1,91,1.0,4,3.96,7,3,42.9,0,1,0,0,0.0,0,0,0,0,
FIN,GK,27,1989,34,34,3060,34.0,45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0
GER,GK,25,1992,33,33,2906,32.3,53,1.64,151,102,67.5,8,11,14,9,27.3,5,4,0,1,0.0
POL,GK,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
GER,GK,29,1988,5,4,435,4.8,10,2.07,23,13,56.5,1,0,3,1,25.0,0,0,0,0,
SUI,GK,28,1988,30,30,2625,29.2,42,1.44,151,110,74.8,12,8,10,6,20.0,4,4,0,0,0.0
GER,GK,25,1992,24,24,2160,24.0,38,1.58,95,58,63.2,4,6,14,6,25.0,4,3,0,1,0.0
GER,GK,22,1994,10,10,900,10.0,15,1.5,47,32,68.1,4,1,5,1,10.0,0,0,0,0,
GER,GK,29,1987,3,3,270,3.0,9,3.0,20,11,55.0,1,0,2,0,0.0,1,0,0,1,
GER,GK,31,1985,31,31,2790,31.0,45,1.45,158,113,72.8,9,9,13,5,16.1,3,2,0,1,0.0
NOR,GK,32,1984,31,31,2790,31.0,44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0
GER,GK,29,1988,3,3,270,3.0,2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,0.0
GER,GK,27,1990,34,34,3060,34.0,48,1.41,147,100,69.4,15,10,9,10,29.4,4,3,1,0,25.0
GER,GK,24,1993,34,34,3060,34.0,70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1
GER,GK,25,1992,33,33,2970,33.0,40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,0.0
AUT,GK,33,1984,1,1,90,1.0,4,4.0,8,3,50.0,0,0,1,0,0.0,1,0,1,0,100.0
GER,GK,19,1997,5,5,450,5.0,7,1.4,21,13,66.7,1,1,3,1,20.0,1,0,1,0,100.0
GER,GK,32,1985,14,14,1260,14.0,18,1.29,53,35,67.9,5,3,6,4,28.6,2,1,0,1,0.0
GER,GK,22,1994,15,15,1350,15.0,27,1.8,70,44,67.1,3,5,7,2,13.3,4,4,0,0,0.0
HUN,GK,27,1990,33,33,2970,33.0,52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0
SUI,GK,23,1994,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
GER,GK,20,1996,1,0,45,0.5,0,0.0,2,2,100.0,0,0,0,1,,0,0,0,0,
GER,GK,28,1988,34,34,3015,33.5,37,1.1,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40.0
GER,GK,28,1989,34,34,3060,34.0,36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3
CZE,GK,25,1992,34,34,3060,34.0,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3
BEL,GK,25,1992,34,34,3060,34.0,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3
GER,GK,31,1987,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,
GER,GK,28,1990,4,4,360,4.0,7,1.75,19,12,63.2,1,1,2,0,0.0,0,0,0,0,
SUI,GK,20,1997,16,16,1390,15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50.0
GER,GK,32,1986,26,26,2303,25.6,23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0.0
GER,GK,29,1988,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0
SUI,GK,30,1987,2,2,180,2.0,4,2.0,6,2,33.3,2,0,0,0,0.0,1,0,0,1,
SUI,GK,27,1990,32,32,2880,32.0,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0
CZE,GK,38,1979,2,2,180,2.0,3,1.5,9,6,66.7,1,0,1,0,0.0,0,0,0,0,
GER,GK,34,1984,32,32,2880,32.0,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0
DEN,GK,25,1992,2,1,122,1.4,0,0.0,7,7,100.0,1,0,0,1,100.0,0,0,0,0,
GER,GK,28,1990,33,33,2938,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0
GER,GK,26,1992,33,33,2970,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0
NED,GK,25,1993,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
SUI,GK,29,1988,34,34,3060,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
GER,GK,30,1987,32,32,2880,32.0,66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,0,16.7
GER,GK,32,1985,1,1,90,1.0,3,3.0,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
AUT,GK,25,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
NOR,GK,33,1984,31,31,2745,30.5,48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,1,33.3
GER,GK,30,1988,4,3,315,3.5,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,0.0
SUI,GK,20,1997,1,1,90,1.0,1,1.0,7,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0
GER,GK,28,1990,33,33,2970,33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0
FIN,GK,28,1989,32,32,2880,32.0,47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,0,25.0
AUT,GK,34,1984,2,2,180,2.0,5,2.5,12,7,66.7,0,0,2,0,0.0,2,1,1,0,50.0
GER,GK,20,1997,24,24,2160,24.0,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0
GER,GK,23,1994,10,10,900,10.0,14,1.4,49,35,71.4,4,4,2,2,20.0,0,0,0,0,
GER,GK,26,1992,22,22,1933,21.5,40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,0.0
GER,GK,23,1995,14,12,1127,12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0
HUN,GK,28,1990,33,33,2925,32.5,27,0.83,117,91,80.3,19,9,5,15,45.5,5,4,0,1,0.0
SUI,GK,24,1994,2,1,135,1.5,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0
GER,GK,21,1996,18,18,1588,17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25.0
GER,GK,29,1988,17,16,1469,16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0.0
GER,GK,29,1989,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
CZE,GK,26,1992,34,34,2978,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0
GER,GK,18,2000,1,0,37,0.4,1,2.43,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
GRE,GK,24,1994,1,0,45,0.5,1,2.0,3,2,66.7,0,0,0,0,,0,0,0,0,
BEL,GK,26,1992,26,26,2295,25.5,39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,0,20.0
AUT,GK,30,1987,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,
GER,GK,32,1987,10,10,900,10.0,12,1.2,33,22,63.6,3,3,4,3,30.0,0,0,0,0,
CZE,GK,26,1992,24,24,2160,24.0,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0
GER,GK,33,1986,33,33,2970,33.0,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0
GER,GK,30,1988,2,2,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
SUI,GK,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,
SUI,GK,28,1990,31,31,2770,30.8,40,1.3,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0
GER,GK,22,1997,17,17,1530,17.0,31,1.82,78,49,62.8,2,9,6,2,11.8,3,2,1,0,33.3
USA,GK,24,1995,17,17,1530,17.0,36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,0,50.0
GER,GK,29,1990,3,3,270,3.0,8,2.67,20,12,60.0,0,0,3,0,0.0,0,0,0,0,
DEN,GK,26,1992,9,9,810,9.0,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0
GER,GK,29,1990,22,22,1980,22.0,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0
GER,GK,27,1992,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,0.0
NED,GK,26,1993,10,10,900,10.0,14,1.4,69,55,79.7,4,3,3,3,30.0,1,0,0,1,
GER,GK,20,1999,1,0,69,0.8,1,1.3,4,3,75.0,0,0,0,0,,0,0,0,0,
SUI,GK,30,1988,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0
GER,GK,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,
NOR,GK,34,1984,29,29,2547,28.3,46,1.63,143,99,72.7,11,5,13,9,31.0,7,7,0,0,0.0
GER,GK,31,1988,4,4,360,4.0,9,2.25,19,10,52.6,0,3,1,0,0.0,0,0,0,0,
GER,GK,29,1990,30,30,2700,30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6
GER,GK,34,1985,4,4,360,4.0,4,1.0,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0
GER,GK,26,1993,34,34,3060,34.0,69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3
FIN,GK,29,1989,34,34,3060,34.0,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0
GER,GK,21,1997,13,12,1125,12.5,25,2.0,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3
GER,GK,24,1994,22,22,1935,21.5,40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,0,50.0
GER,GK,25,1994,6,6,540,6.0,17,2.83,33,16,51.5,0,1,5,0,0.0,1,1,0,0,0.0
GER,GK,25,1994,28,28,2520,28.0,57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,0,25.0
HUN,GK,29,1990,32,32,2880,32.0,34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,0.0
SUI,GK,25,1994,2,2,180,2.0,3,1.5,5,2,40.0,2,0,0,0,0.0,0,0,0,0,
GER,GK,22,1996,26,26,2315,25.7,40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,0.0
GER,GK,21,1998,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0
GER,GK,21,1997,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
POL,GK,31,1987,33,33,2970,33.0,54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,0,25.0
CZE,GK,27,1992,33,33,2970,33.0,67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,0.0
GRE,GK,25,1994,1,1,90,1.0,2,2.0,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
BEL,GK,27,1992,26,26,2340,26.0,38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,0.0
AUT,GK,31,1987,8,8,720,8.0,8,1.0,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0
GER,GK,27,1992,34,34,3060,34.0,52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,0,16.7
POL,GK,32,1987,34,34,3060,34.0,54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,14.3
