nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
USA,GK,25,1995,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ESP,GK,29,1990,26,26,2295,25.5,32,1.25,90,59,68.9,12,9,5,9,34.6,4,4,0,0,0.0
ENG,GK,23,1997,13,12,1125,12.5,12,0.96,51,39,76.5,9,2,1,4,33.3,0,0,0,0,
WAL,GK,29,1990,25,25,2250,25.0,43,1.72,126,84,68.3,7,4,14,4,16.0,4,3,1,0,25.0
SVK,GK,31,1989,13,13,1170,13.0,19,1.46,62,44,71.0,5,5,3,3,23.1,1,1,0,0,0.0
ENG,GK,22,1998,38,38,3420,38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0
ENG,GK,30,1989,30,30,2700,30.0,57,1.9,147,91,65.3,8,7,15,7,23.3,6,6,0,0,0.0
ENG,GK,32,1988,8,8,720,8.0,11,1.37,31,19,71.0,4,0,4,2,25.0,3,2,1,0,33.3
FRA,GK,33,1986,38,38,3420,38.0,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0
ENG,GK,31,1989,1,1,90,1.0,2,2.0,6,4,66.7,1,0,0,0,0.0,0,0,0,0,
ENG,GK,27,1993,37,37,3330,37.0,74,2.0,234,162,71.4,4,11,22,6,16.2,11,7,1,3,12.5
IRL,GK,33,1987,3,3,270,3.0,3,1.0,9,6,66.7,2,0,1,1,33.3,0,0,0,0,
POL,GK,35,1985,35,35,3150,35.0,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25.0
ENG,GK,33,1986,2,1,91,1.0,1,0.99,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
POR,GK,32,1988,37,37,3329,37.0,51,1.38,148,99,70.3,12,9,16,10,27.0,8,7,1,0,12.5
